true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
3.9,1.485,1.368,0.389,5.677,8.753
3.9,1.438,1.38,0.282,5.83,8.773
3.9,1.422,1.339,0.338,5.498,8.559
3.9,1.509,1.245,0.565,5.386,8.578
3.9,1.492,1.408,0.33,6.112,8.957
3.9,1.454,1.328,0.407,5.485,8.602
3.9,1.49,1.477,0.132,6.385,9.172
4.0,1.521,1.408,0.377,5.957,8.949
4.0,1.492,1.413,0.322,5.821,8.887
4.0,1.451,1.387,0.295,5.903,8.856
4.0,1.469,1.411,0.278,5.88,8.889
4.0,1.46,1.322,0.425,5.56,8.669
4.0,1.451,1.404,0.254,5.814,8.798
4.0,1.458,1.354,0.371,5.654,8.731
4.0,1.473,1.406,0.299,5.864,8.857
4.0,1.436,1.372,0.295,5.524,8.65
4.0,1.453,1.438,0.145,6.185,8.995
4.1,1.525,1.274,0.549,5.497,8.697
4.1,1.48,1.388,0.347,6.027,8.921
4.1,1.493,1.444,0.252,6.121,9.08
4.1,1.474,1.393,0.328,5.992,8.9
4.1,1.48,1.42,0.282,5.988,8.912
4.1,1.509,1.44,0.3,6.171,9.042
4.1,1.462,1.319,0.431,5.552,8.653
4.1,1.466,1.433,0.212,6.185,9.016
4.1,1.455,1.38,0.316,5.769,8.737
4.1,1.526,1.404,0.392,6.232,9.087
4.2,1.451,1.371,0.329,5.685,8.725
4.2,1.503,1.395,0.372,6.231,9.031
4.2,1.51,1.37,0.421,5.918,8.89
4.2,1.509,1.435,0.309,6.15,9.034
4.2,1.499,1.419,0.322,6.052,8.972
4.2,1.495,1.424,0.304,6.198,9.02
4.2,1.491,1.403,0.339,6.211,9.041
4.2,1.474,1.38,0.353,5.674,8.725
4.2,1.511,1.368,0.424,6.135,8.974
4.2,1.488,1.424,0.291,6.137,9.025
4.3,1.51,1.421,0.339,6.229,9.05
4.3,1.505,1.432,0.309,6.15,9.012
4.3,1.466,1.405,0.287,5.844,8.819
4.3,1.479,1.332,0.435,5.363,8.562
4.3,1.487,1.342,0.43,5.853,8.789
4.3,1.438,1.406,0.208,5.76,8.774
4.3,1.409,1.328,0.334,5.41,8.535
4.3,1.496,1.413,0.329,6.087,8.972
4.3,1.488,1.401,0.337,6.059,8.938
4.3,1.497,1.402,0.351,6.005,8.967
4.4,1.521,1.446,0.31,6.324,9.136
4.4,1.474,1.401,0.311,5.77,8.831
4.4,1.441,1.408,0.214,5.819,8.81
4.4,1.427,1.407,0.169,5.83,8.787
4.4,1.504,1.383,0.393,5.972,8.882
4.4,1.551,1.358,0.482,5.904,8.934
4.4,1.467,1.342,0.403,5.637,8.71
4.4,1.495,1.454,0.231,6.194,9.045
4.4,1.526,1.374,0.435,5.816,8.869
4.4,2.771,1.619,0.812,13.097,13.898
4.5,1.439,1.357,0.334,5.525,8.631
4.5,1.489,1.309,0.477,5.538,8.64
4.5,1.472,1.431,0.234,6.055,8.945
4.5,1.535,1.334,0.495,6.016,8.899
4.5,1.494,1.436,0.276,6.252,9.082
4.5,2.952,1.53,0.855,11.296,13.916
4.5,1.456,1.431,0.184,6.131,8.954
4.5,1.445,1.284,0.459,5.222,8.392
4.5,1.545,1.424,0.389,6.212,9.091
4.5,1.461,1.377,0.335,5.57,8.658
4.6,1.57,1.234,0.619,5.291,8.541
4.6,1.508,1.435,0.306,6.212,9.073
4.6,1.478,1.412,0.297,6.11,8.962
4.6,1.443,1.35,0.353,5.666,8.672
4.6,1.513,1.36,0.439,6.032,8.969
4.6,1.534,1.382,0.434,6.132,9.001
4.6,1.452,1.397,0.273,5.802,8.796
4.6,1.476,1.396,0.323,5.853,8.851
4.6,1.47,1.445,0.182,5.88,8.915
4.6,1.498,1.434,0.289,6.304,9.124
4.7,1.55,1.316,0.528,5.746,8.836
4.7,1.438,1.323,0.392,5.494,8.53
4.7,1.487,1.424,0.289,6.137,9.015
4.7,1.457,1.447,0.117,6.188,9.031
4.7,1.464,1.199,0.573,4.699,8.069
4.7,1.493,1.44,0.265,6.409,9.121
4.7,1.504,1.465,0.226,6.368,9.195
4.7,1.511,1.365,0.429,6.095,8.948
4.7,1.493,1.429,0.291,6.239,9.071
4.7,1.512,1.497,0.14,6.501,9.247
4.8,1.443,1.432,0.126,6.03,8.916
4.8,1.55,1.354,0.487,5.43,8.667
4.8,1.534,1.34,0.487,6.034,8.9
4.8,1.472,1.439,0.209,6.176,9.008
4.8,1.482,1.431,0.261,5.907,8.933
4.8,1.466,1.447,0.162,5.949,8.905
4.8,1.431,1.33,0.369,5.576,8.584
4.8,1.491,1.397,0.349,6.062,8.96
4.8,1.483,1.36,0.4,6.011,8.827
4.8,1.35,1.303,0.261,5.09,8.22
4.9,1.482,1.378,0.367,5.83,8.849
4.9,1.509,1.427,0.326,6.119,9.0
4.9,1.526,1.468,0.272,6.267,9.154
4.9,3.859,1.539,0.917,9.505,13.291
4.9,1.481,1.376,0.37,5.928,8.891
4.9,1.503,1.379,0.397,5.733,8.835
4.9,1.529,1.42,0.371,6.339,9.142
4.9,1.458,1.204,0.564,5.022,8.199
4.9,1.497,1.396,0.361,6.22,9.03
4.9,1.514,1.393,0.393,6.187,8.987
5.0,1.469,1.447,0.172,5.876,8.879
5.0,1.468,1.366,0.365,5.805,8.751
5.0,1.429,1.345,0.338,5.447,8.604
5.0,1.458,1.353,0.371,5.802,8.787
5.0,1.501,1.306,0.493,5.321,8.536
5.0,1.5,1.322,0.473,5.562,8.667
5.0,1.508,1.309,0.496,5.774,8.751
5.0,1.423,1.362,0.289,5.685,8.719
5.0,1.58,1.218,0.637,5.305,8.524
5.0,1.493,1.403,0.341,6.078,8.993
5.1,1.517,1.43,0.335,5.796,8.902
5.1,1.492,1.402,0.343,5.877,8.882
5.1,1.51,1.394,0.384,6.281,9.037
5.1,1.446,1.394,0.268,5.789,8.769
5.1,1.529,1.366,0.449,6.031,8.952
5.1,1.49,1.439,0.259,6.1,9.007
5.1,1.474,1.4,0.313,6.075,8.9
5.1,1.509,1.477,0.204,6.384,9.179
5.1,1.517,1.411,0.367,5.983,8.993
5.1,1.514,1.42,0.346,6.222,9.104
5.2,1.506,1.42,0.334,6.213,9.04
5.2,1.503,1.451,0.261,6.137,9.073
5.2,1.518,1.427,0.341,6.286,9.102
5.2,96577.776,365.82,1.0,31.019,23.153
5.2,1.564,1.291,0.564,5.719,8.78
5.2,1.504,1.257,0.55,5.264,8.524
5.2,1.481,1.374,0.373,5.988,8.867
5.2,1.533,1.398,0.41,6.23,9.056
5.2,1.442,1.399,0.24,5.826,8.836
5.2,1.485,1.423,0.286,6.283,9.068
5.3,1.45,1.424,0.188,5.922,8.887
5.3,1.484,1.421,0.288,6.082,8.95
5.3,1.485,1.424,0.283,6.223,9.054
5.3,1.482,1.386,0.353,5.924,8.85
5.3,1.481,1.433,0.252,6.306,9.073
5.3,1.484,1.411,0.31,5.999,8.941
5.3,1.517,1.46,0.272,6.418,9.24
5.3,2.844,1.939,0.732,15.375,14.903
5.3,1.479,1.402,0.319,5.974,8.908
5.3,1.485,1.393,0.347,5.82,8.802
5.4,1.527,1.425,0.358,6.411,9.173
5.4,1.486,1.453,0.207,6.493,9.181
5.4,1.497,1.353,0.428,5.947,8.889
5.4,1.457,1.363,0.353,5.477,8.688
5.4,1.471,1.341,0.411,5.686,8.714
5.4,3.546,1.772,0.866,11.412,15.152
5.4,1.503,1.406,0.353,6.114,9.031
5.4,1.471,1.382,0.343,5.917,8.862
5.4,1.488,1.441,0.25,6.179,9.072
5.4,1.496,1.401,0.351,5.873,8.882
5.5,1.509,1.417,0.344,6.059,8.975
5.5,1.531,1.399,0.407,6.254,9.078
5.5,1.529,1.408,0.391,6.168,9.025
5.5,1.497,1.382,0.385,5.709,8.779
5.5,1.485,1.389,0.353,6.09,8.917
5.5,1.501,1.448,0.261,6.33,9.176
5.5,1.5,1.348,0.438,5.786,8.787
5.5,1.544,1.302,0.538,5.653,8.711
5.5,1.5,1.324,0.469,5.61,8.686
5.5,1.524,1.365,0.444,5.901,8.873
5.6,1.498,1.372,0.402,5.751,8.77
5.6,1.515,1.443,0.305,6.353,9.138
5.6,1.507,1.335,0.464,5.899,8.822
5.6,1.526,1.366,0.445,6.02,8.945
5.6,1.507,1.412,0.35,6.22,9.054
5.6,1.478,1.41,0.301,5.828,8.911
5.6,1.479,1.414,0.293,6.056,8.996
5.6,1.432,1.41,0.175,5.83,8.843
5.6,1.472,1.42,0.263,6.096,8.98
