true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
2.2,3.313,0.001,0.576,0.498,-0.197,-0.188,-0.186,0.156,0.941,2.644,4.532,7.766
2.2,3.377,0.05,0.514,0.598,0.015,0.143,-0.497,-0.297,0.978,2.679,4.112,6.812
2.3,3.396,-0.029,0.608,0.553,-0.08,0.422,-0.364,-0.03,1.019,2.626,4.661,7.113
2.3,3.432,0.026,0.55,0.494,-0.392,0.089,-0.325,0.071,0.914,2.533,3.987,6.466
2.3,3.364,0.078,0.59,0.569,-0.152,0.161,-0.246,-0.421,1.021,2.617,4.665,6.818
2.3,3.39,-0.039,0.64,0.539,-0.074,0.04,-0.489,-0.139,1.038,2.686,4.814,7.572
2.3,3.385,-0.029,0.605,0.514,0.232,0.049,-0.434,0.486,0.979,2.658,4.192,7.019
2.3,3.288,0.103,0.539,0.595,-0.029,-0.085,-0.741,-0.651,1.007,2.543,4.077,6.446
2.3,3.124,0.046,0.43,0.459,-0.285,-0.47,-0.34,0.389,0.769,2.341,2.93,5.748
2.3,3.371,-0.054,0.499,0.607,-0.319,0.376,-0.098,-0.439,0.97,2.627,4.189,7.029
2.3,3.34,-0.029,0.602,0.591,0.032,0.223,-0.359,-0.39,1.048,2.65,4.429,6.578
2.3,3.302,0.051,0.538,0.54,0.108,0.217,-0.495,-0.24,0.951,2.546,4.083,6.734
2.4,3.27,-0.011,0.58,0.589,-0.042,-0.129,-0.608,-0.649,1.034,2.699,4.434,6.279
2.4,3.323,-0.075,0.581,0.627,0.044,0.249,-0.736,-0.525,1.069,2.639,4.632,7.027
2.4,3.256,-0.028,0.539,0.538,0.429,0.144,0.051,-0.525,0.943,2.492,3.897,5.933
2.4,3.401,0.088,0.509,0.607,-0.149,-0.129,-0.09,-0.51,0.982,2.636,4.628,7.302
2.4,3.317,-0.026,0.547,0.543,-0.328,0.05,-0.251,-0.363,0.95,2.669,4.606,7.494
